title,source,time,summary
债务危机引发连锁反应 华晨汽车原董事长祁玉民被查,东方财富网,2020年12月4日,"祁玉民自2005年12月起担任华晨汽车董事长、总裁,2016年起担任华晨汽车集团控股有限公司董事长、党委书记。2019年4月1日,祁玉民正式挥别华晨汽车,阎秉哲接任。 值得注意的是,2005年祁玉民接手时,华晨汽车已经连续三年亏损。祁玉民上任后实施..."
一锤定音:中国十大汽车集团 60后当家,搜狐网,2020年12月4日,董事长朱华荣;1964年2月出生的北汽集团党委书记、董事长姜德义;1963年6月出生的吉利集团董事长李书福;1964年3月出生的长城汽车董事长魏建军;1963年10月出生的华晨汽车党委书记、董事长阎秉哲;1963年11月出生的奇瑞汽车党委书记、董事长兼...
华晨的三次死亡时刻,BusinessCars,2020年12月2日,自7月下旬以来，华晨汽车集团的多支存续债券就大幅下跌，甚至遭遇市场恐慌性抛售。不仅如此，今年以来华晨汽车集团控股有限公司已经多次被纳入被执行人名单，目前共有16项被执行人信息，当前被执行总金额近3.9亿元。另一个数据更值得玩味，...
齐凯回应华晨集团热点问题:管理权压缩至三级 计划5年销量达195万辆,搜狐网,2020年11月30日,"9月17日,华晨集团静默期结束,刚刚履新的华晨汽车集团控股有限公司副总裁齐凯接受了媒体的公开采访,并就外界关切的问题进行了一一回应,并就华晨集团十四五规划进行了详细解读。 短期危机 华晨负债处于行业中等水平..."
"华晨集团破产被指“甩锅”,重整预期有些悬",大白财经观察,2020年11月25日,虽然辽宁省重点国企华晨汽车集团控股有限公司（以下简称华晨集团）一直否认破产传言，但是破产重组还是成为事实。近年来，华晨集团一直负面消息缠身，今年8月初，多支债券遭到抛售，旗下多只股票股价暴跌。今年10月下旬，华晨集团此前发行的10...
"负债超1300亿!华晨集团正式破产重整,不涉及宝马,旗下公司却涨停",Wind资讯,2020年11月21日,Wind全球企业库数据显示，华晨汽车成立于2002年，隶属于辽宁省国资委的重点国有企业，法定代表人为阎秉哲。目前旗下拥有4家上市公司，分别是华晨中国、金杯汽车股份有限公司、上海申华控股股份有限公司和中国动力控股有限公司，并通过旗下上市...
聚焦华晨破产重整:回忆悲情祁玉民,手机凤凰网,2020年11月20日,"2019年4月1日,华晨集团会议室内,由辽宁省委组织部副部长赵建华宣布省委任命:阎秉哲任华晨集团党委书记、董事长。 “几回回梦里回延安,双手搂定宝塔山”,一年前,时任华晨汽车集团控股有限公司(华晨集团)董事长祁玉民在陕西延安用乡音吟诵..."
辽宁国资委彻底放弃!华晨正式破产,第一电动网,2020年11月20日,"今天,华晨集团正式破产重整。 11月20日,沈阳市中级人民法院裁定受理债权人对华晨汽车集团控股有限公司(以下简称华晨集团)重整申请,这标志着华晨正式进入破产重整程序。 法院的裁定称: 华晨集团存在资产不足以清偿全部债务的情形,具备企业破产..."
"媒体报道:华晨集团正式破产重整,天眼查显示其累计执行标的已近4亿",金融界,2020年11月20日,天眼查App，华晨汽车集团控股有限公司成立于2002年9月，法定代表人为阎秉哲，注册资本为8亿人民币，经营范围包含国有资产经营，受托资产经营管理，开发、设计各类汽车、发动机及零部件并提供技术咨询等。天眼查App司法风险信息显示，该公司...
重磅!华晨集团正式破产重整 称尽力挽回债权人损失,网易财经,2020年11月20日,"新华社沈阳11月20日电(记者陈梦阳、汪伟)沈阳市中级人民法院20日裁定受理债权人对华晨汽车集团控股有限公司(以下简称华晨集团)重整申请,标志着这家车企正式进入破产重整程序。 法院的裁定称,华晨集团存在资产不足以清偿全部债务的情形,具备..."
被公开谴责的阎秉哲,新浪财经,1月18日,对于阎秉哲来说2020年显然不是他的幸运年。他怎么都不会想到在他接任华晨集团的第601天，华晨集团就被法院裁定破产重组，而第654天会被上交所公开谴责。1月12日晚，上交所发出《纪律处分决定书》，对华晨汽车集团控股有限公司（下称...
华晨集团正式破产重整,金融界,2020年11月20日,委托代理人：杨仁国，男，汉族，1967年10月3日出生，住吉林省辽源市西安区仙城街十三委十三组，该公司工作人员。被申请人（债务人）：华晨汽车集团控股有限公司，住所地沈阳市大东区东望街39号。法定代表人：阎秉哲，该公司董事长。...
华晨汽车最终还是破产了,腾讯网,2020年11月8日,"11月13日,全国企业破产重组案件信息网上线了一则消息,格致汽车科技股份有限公司向辽宁省沈阳市中级人民法院申请对华晨汽车集团控股有限公司(华晨汽车集团)重整,案件编号(2020)辽01破申27号,前者是一家汽车冲压模具研产商。 11月16日,华..."
突发!原华晨汽车董事长祁玉民接受审查调查,牛车网,2020年12月4日,[资讯-牛车网]中央纪委国家监委网站12月4日消息，据辽宁省纪委监委消息：华晨汽车集团控股有限公司原党委书记、董事长祁玉民涉嫌严重违纪违法，目前正接受纪律审查和监察调查。2005年12月，时任大连市人民政府副市长的祁玉民接手华晨汽车...
重磅! 上交所深夜发出纪律处分决定书:公开谴责华晨董事长、总会计师,腾讯网,2020年12月31日,"1月12日晚间,上交所发出纪律处分决定书,对华晨汽车集团控股有限公司(以下简称华晨集团)及其董事长、信息披露事务负责人予以公开谴责。谴责的客体是时任华晨汽车董事长、法人阎秉哲和时任华晨汽车总会计师、信息披露事务负责人高新刚。"
华晨汽车集团董事长阎秉哲:大“疫”面前勇担当,大咖言车,2020年2月6日,经官方授权，“大咖言车”摘选各大车企的掌门人在抗击疫情时最理性、最坚定的声音，以及信念、行动和寄语呈现给大家，希望每一位正在看这篇文章的你，感受来自中国汽车行业的正能量。华晨汽车集团控股有限公司党委书记、董事长阎秉哲称，...
省委决定阎秉哲同志任华晨汽车集团控股有限公司党委书记、董事长,网易订阅,2019年7月2日,"2019年4月1日,华晨汽车集团控股有限公司在101会议室召开干部大会,辽宁省委组织部赵建华副部长,省国资委徐吉生副主任等有关领导出席会议。 会上,省委组织部赵建华副部长宣布省委决定并讲话。省委决定,阎秉哲同志任华晨汽车集团控股有限公司党委..."
祁玉民谢幕!沈阳市副市长阎秉哲接任华晨汽车集团董事长,东方财富网,2019年4月1日,"华晨汽车集团官网消息,2019年4月1日,华晨汽车集团控股有限公司在101会议室召开干部大会,辽宁省委决定,阎秉哲同志任华晨汽车集团控股有限公司党委书记、董事长;祁玉民同志由于年龄原因,不再担任华晨汽车集团控股有限公司党委书记、董事长。"
[公告]华晨汽车集团控股有限公司:17华汽01:华晨汽车集团控股有限...,中国财经信息网,2019年4月8日,"再担任华晨汽车集团控股有限公司董事长、董事职务。 (二)相关决定情况、新任人员聘任安排及基本情况等。 经中国共产党辽宁省委员会决定,阎秉哲同志担任华晨汽车集团 控股有限公司董事、董事长。"
华晨汽车董事长阎秉哲:开放合作是汽车产业发展共赢的必由之路,第一电动网,2019年8月31日,"8月31日,2019中国汽车产业发展(泰达)国际论坛正式开幕。会议上,华晨汽车集团控股有限公司党委书记、董事长阎秉哲透露,华晨集团正在寻求汽车与金融合作的新模式,推动包括从新能源汽车的制造到汽车售后服务整体链条的产业和金融的融合。"
阎秉哲接棒祁玉民 担任华晨汽车董事长,搜狐网,2019年4月2日,"日前,我们获悉,在4月1日举办的华晨汽车集团控股有限公司干部大会上,辽宁省省委组织部副部长赵建华宣布省委决定,经辽宁省省委决定,阎秉哲担任华晨汽车集团控股有限公司党委书记、董事长。 阎秉哲接任华晨汽车集团控股有限公司董事长、党委书记..."
祁玉民退休 阎秉哲接任华晨汽车董事长(图|简历),中国经济网,2019年4月2日,"经济日报-中国经济网4月2日讯 据华晨汽车官网消息,4月1日华晨汽车集团控股有限公司召开干部大会。会上宣布,阎秉哲同志任华晨汽车集团控股有限公司党委书记、董事长;祁玉民同志由于年龄原因,不再担任华晨汽车集团控股有限公司党委书记、董事长..."
阎秉哲履新 华晨汽车掌门人“易主”,汽车之家,2019年4月1日,"[汽车之家行业] 4月1日,华晨汽车集团控股有限公司召开干部大会。会上,辽宁省省委组织部副部长赵建华宣布省委决定并讲话。省委决定,阎秉哲任华晨汽车集团控股有限公司党委书记、董事长。 『阎秉哲』 ..."
华晨汽车阎秉哲:开放合作是汽车产业发展共赢的必由之路,新华网客户端,2019年9月10日,"近日,华晨汽车集团控股有限公司党委书记、董事长阎秉哲在出席2019泰达论坛时说,开放合作是产业发展趋势,也是华晨集团的必然选择。华晨将继续秉持开放合作的理念,在新能源、智能网联、智能驾驶等重点领域加大投入,借助外部力量,开发面向未来的..."
"周点评丨祁玉民退休,阎秉哲任华晨汽车董事长;福特公布中国2.0计划",亿欧网,2019年4月7日,"3、祁玉民退休,阎秉哲接任华晨汽车董事长 4月1日,华晨汽车集团控股有限公司召开干部大会,宣布现任沈阳市副市长阎秉哲将上任华晨汽车集团控股有限公司党委书记、董事长。随着阎秉哲的上任,原华晨汽车集团党委书记、董事长祁玉民将正式退休。"
华晨祁玉民将退休 职位或由阎秉哲接任,爱卡汽车,2019年4月1日,"日前,我们从相关渠道获悉,华晨汽车集团控股有限公司董事长、党委书记祁玉民将于今年退休,其职位或由沈阳市副市长阎秉哲将接任。 祁玉民出生于1959年9月,2004年10月,祁玉民任大连市副市长,自2005年12月起担任华晨汽车集团控股有限公司董事..."
"华晨汽车集团成立国际贸易公司,或涉汽车进出口业务",新京报,2019年8月5日,"新京报快讯(记者 王琳琳)8月5日,新京报记者从启信宝查询信息发现,华晨汽车集团控股有限公司于7月31日注资5000万人民币,成立华晨国际贸易有限公司,公司法定代表人为张巍。 工商信息显示,华晨国际贸易有限公司的经营范围包括汽车、二手车、汽..."
"首席出行要闻丨上汽2018年营收9021亿元,阎秉哲接替祁玉民执掌华晨",亿欧网,2019年4月2日,"4月1日,华晨汽车集团控股有限公司召开干部大会,宣布现任沈阳市副市长阎秉哲将上任华晨汽车集团控股有限公司党委书记、董事长。随着阎秉哲的上任,原华晨汽车集团党委书记、董事长祁玉民将正式退休。"
华晨祁玉民继任者阎秉哲:履新半年有余 改革创新激发内生动力,财经观察网,2019年12月5日,"今年4月1日,华晨汽车召开干部大会,宣布现任沈阳副市长阎秉哲将上任华晨汽车集团控股有限公司党委书记、董事长。 随着阎秉哲的上任,原华晨汽车集团党委书记、董事长祁玉民将正式退休,也标志着祁玉民在华晨的13年职业生涯画上一个句号。 阎..."
新董事长上任!华晨汽车集团能做大做强吗?,车先生MrAuto,2019年4月2日,"4月1日,华晨汽车集团控股有限公司发布公告称(以下简称华晨集团),原辽宁省沈阳市副市长阎秉哲出任华晨汽车集团控股有限公司党委书记、董事长。同时,祁玉民同志由于年龄原因,不再担任华晨汽车集团控股有限公司党委书记、董事长。 在位13年、..."
