title,source,time,summary
谭旭光任职或有新变化?官方回应来了,卡车之家,2020年8月31日,"● 潍柴动力回应“谭旭光被公示拟任新职”:其在公司职务没变化 该份公示名单发布以后,引起业界的关注与猜测。 8月28日,有投资者在深交所互动易平台向潍柴动力股份有限公司留言称:“昨天看到新闻说山东省任命谭总为省委管理的国有重要骨..."
权威发布丨谭旭光同志任中国重型汽车集团有限公司党委书记、董事...,搜狐网,2018年9月1日,"王忠林介绍了谭旭光同志的主要工作经历和情况。谭旭光同志现任山东重工集团有限公司党委书记、董事长,山东省交通工业集团控股有限公司党委书记、董事长,潍柴控股集团有限公司董事长,潍柴动力股份公司董事长、首席执行官,在谭旭光同志带领下,山东重..."
潍柴动力实现营收利润双增长 董事长谭旭光放言未来实现10%的复合...,鲁网,2020年3月27日,"企查查资料显示,潍柴动力成立于2002年,由潍柴控股集团有限公司作为主发起人、联合境内外投资者创建而成,是中国内燃机行业第一家在香港H股上市的企业,也是中国第一家由境外回归内地实现A股再上市的公司,目前法定代表人为谭旭光。"
潍柴动力董事长谭旭光:不能为实现世界五百强而收购,新浪财经,2019年12月22日,"潍柴动力董事长谭旭光 图片来源:主办方供图 事实上,谭旭光除了是潍柴动力董事长,还是山东重工集团、潍柴集团、中国重汽集团董事长。从营业数据来看,山东重工集团已经可以在世界500强榜单排上座次。 10月19日下午,在“跨国公司领导人青岛峰会..."
潍柴动力股份有限公司2019年半年度报告摘要,东方财富网,2019年8月30日,"(3)与上一会计期间财务报告相比,合并报表范围发生变化的情况说明 □ 适用 √ 不适用 公司报告期无合并报表范围发生变化的情况。 董事长:谭旭光 潍柴动力股份有限公司 二一九年八月二十九日 主力资金加仓名单实时更新,APP内免费看>>..."
潍柴动力谭旭光:15年的作业是这样做的,卡车之家,2019年4月8日,"3月26日,潍柴动力股份有限公司(以下简称“潍柴动力”)上市15周年暨创新发展交流会在香港举行。潍柴动力董事长兼首席执行官谭旭光率一行高管亲临会场,一贯的谭氏幽默,谈笑香江,交流会笑声不断,也显示出谭董事长气场满满,智慧从容。 过去意义..."
谭旭光要干啥?潍柴动力斥资1亿元回购近1200万股份,搜狐网,2018年11月4日,"11月2日,潍柴动力股份有限公司(下称“公司”)发布关于回购部分 A 股社会公众股份的进展公告。 截至2018年10月31日,公司以集中竞价方式回购A股股份共计1189.8万股,占公司总股本的比例为0…"
潍柴动力董事长谭旭光当选内燃机协会理事长,全景网,2012年12月11日,"在12月10日召开的中国内燃机工业协会第五次全国会员代表大会上,山东重工集团有限公司董事长、潍柴动力股份有限公司董事长谭旭光再次当选协会理事长。谈到新一届理事会下一步的工作时,谭旭光指出,中国内燃机工业协会一定要认真组织学习宣传贯彻..."
潍柴动力董事长谭旭光:潍柴永远的“发动机”,中国产业经济信息网,2012年12月7日,"自2005年起,潍柴动力(000338)股份有限公司董事长谭旭光连续7次被评为 “最具影响力的25位企业领袖”。他曾在2005年初次参加中国企业领袖年会时坦言,“《中国企业家》杂志社举办这样一个会议,是整个中国企业界聚会的一个非常好的时机,..."
潍柴动力谭旭光董事长到福建进行系列考察,中国工程机械商贸网,2012年11月9日,"谭旭光董事长视察厦门丰泰新能源客车公司 10月29日上午,谭旭光董事长到厦门丰泰新能源客车公司视察,参观了即将下线的混合动力客车、纯电动客车等新能源客车。 厦门丰泰是一家中外合资的新能源客车出口企业。公司通过引进国外先进的新能源汽..."
潍柴动力董事长谭旭光:潍柴永远的“发动机”,中国产业经济信息网,2012年12月7日,"自2005年起,潍柴动力(000338)股份有限公司董事长谭旭光连续7次被评为 “最具影响力的25位企业领袖”。他曾在2005年初次参加中国企业领袖年会时坦言,“《中国企业家》杂志社举办这样一个会议,是整个中国企业界聚会的一个非常好的时机,..."
