title,source,time,summary
[关联交易]海得控制:日常关联交易预计公告,中国财经信息网,2011年7月29日,"7、关联关系:公司下属控股子公司浙江海得新能源有限公司持股50%的企 业(不合并报表),本公司董事在重庆佩特担任董事及高级管理人员职务。 8、财务状况: 单位:人民币 万元 项目 2010年12月31日 ..."
[公告]海得控制:2010年半年度财务报告,中国财经信息网,2010年7月31日,"浙江海得新能源有限公司(以下简称: 浙江海得新能源)  有限 公司 桐乡 电气设 备销售  3,310.00  新能源工业自动化及信息的系统集成和相关产品的 研发、技术服务;电气控制系统的生产销售  3,200.77  ..."
"资金大举介入,有望率先放量涨停的强庄股(名单",网易财经,2009年11月19日,"同时,公司总经理郭孟榕也表示,海得新能源将依托海得控制的坚实平台,力争在五年内,成为世界一流的风电变流器专业厂家。风力发电是国内新能源产业大力发展的核心产业,国家不断出台政策加大扶持力度,中美两国也在积极推进合作开发事宜,公司凭借..."
海得控制1.5MW双馈风电变流器面世 - 证券时报多媒体数字报刊平台,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2009年10月13日,"公司总经理郭孟榕在鉴定会上表示,海得新能源将依托海得控制的坚实平台,力争在五年内,成为世界一流的风电变流器专业厂家,为整机厂家提供稳定可靠、高性价比的风电变流器及相关服务。 风力发电是国内新能源产业大力发展的核心产业,随着国家扶..."
交易异动!海得控制:近3个交易日上涨16.23%,每日经济新闻,2月25日,2020年半年报显示，海得控制的主营业务为工业自动化及信息化、新能源发电，占营收比例分别为：87.85%、12.15%。海得控制的董事长是许泓，男，55岁，大学本科，中欧国际工商学院EMBA。 海得控制的总经理是郭孟榕，男，57岁，工学硕士...
海得控制:公司股价交易异动!近3个交易日上涨28.54%,每日经济新闻,2月22日,2020年半年报显示，海得控制的主营业务为工业自动化及信息化、新能源发电，占营收比例分别为：87.85%、12.15%。海得控制的董事长是许泓，男，55岁，大学本科，中欧国际工商学院EMBA。 海得控制的总经理是郭孟榕，男，57岁，工学硕士...
海得控制:公司及其子公司获得政府补助共计约619万元,每日经济新闻,1月12日,2020年半年报显示，海得控制的主营业务为工业自动化及信息化、新能源发电，占营收比例分别为：87.85%、12.15%。海得控制的董事长是许泓，男，55岁，大学本科，中欧国际工商学院EMBA。 海得控制的总经理是郭孟榕，男，57岁，工学硕士...
"​风电每日报,3分钟·纵览风电事!(10月13日)",搜狐网,2020年10月13日,"10月9日,海得新能源(乌兰察布)电控系统产业基地在察哈尔工业园区正式开工。这是乌兰察布市抓招商引资和项目建设的重要成果,对推动乌兰察布新能源产业转型发展具有重大意义。市委书记、市长费东斌宣布项目开工。海得新能源有限公司董事长郭孟榕,..."
海得新能源(乌兰察布)电控系统产业基地开工建设,澎湃新闻,2020年10月10日,"市委书记、市长费东斌出席开工仪式并宣布项目开工。海得新能源有限公司董事长郭孟榕,市领导于海宇、奇·达楞太、尉世林、云鹏刚、杨印、李远志出席开工仪式。 云鹏刚在致辞中表示,近年来,我市立足资源优势,大力发展新能源产业,提升资源可持..."
【要闻】海得新能源(乌兰察布)电控系统产业基地开工,澎湃新闻,2020年10月10日,"10月9日,海得新能源(乌兰察布)电控系统产业基地在察哈尔工业园区正式开工。这是我市抓招商引资和项目建设的重要成果,对推动乌兰察布新能源产业转型发展具有重大意义。 市委书记、市长费东斌宣布项目开工。海得新能源有限公司董事长郭孟榕,副市..."
海得控制:2019年年度报告,同花顺财经,2020年4月25日,"(3)公司新能源业务的实施主体为浙江海得新能源有限公司、南京电力海得电力科技有限公司、建水云得太阳能科技有限公司。浙江海得新能源有限公司是公司新能源业务中大功率电力电子产品业务的主要实施主体:报告期内,公司大功率电力电子产品业务团..."
公告汇总:*ST墨龙实控人张恩荣父子遭罚没1.53亿,网易财经,2017年5月15日,"合康新能董事长刘锦成15日增持公司50万股,增持比例0.06%;滨江集团控股股东滨江控股15日通过信托计划增持公司30万股,增持比例0.01%;海得控制实控人郭孟榕12日增持公司2.02万股,增持比例0.01%;景峰医药控股股东叶湘武及配偶合计增持..."
(5/11)晚间沪深上市公司重大事项公告最新快递,东方财富网,2017年5月11日,"海得控制发布公告称,公司控股股东、实际控制人郭孟榕先生于2017年5月11日,通过交易系统增持公司股份15.61万股,成交均价14.79元/股。 宏达矿业:控股股东及部分高管拟大手笔增持 宏达矿业发布公告称,公司控股股东上海晶茨及公司部分高管人..."
干货!重要公告速读,搜狐网,2017年4月20日,"海得控制控股股东、实际控制人许泓和郭孟榕拟自2017年4月20日起3个月内(2017年4月20日至2017年7月20日),通过交易系统(包括但不限于集中竞价和大宗交易)增持公司股份,计划累计增持不超公司已发行总股份的1%。"
