title,source,time,summary
"第三位“广汽系”高管落马,因受贿罪被判刑,广汽集团缘何成为贪腐...",每日经济新闻,2019年8月22日,"记者了解到,上述判决书中的被告人即原广州万力集团有限公司党委书记、董事长付守杰,其所犯下的罪行多与其在广汽集团任职期间有关。 广州市中级人民法院发布的刑事判决书显示,2011年至2012年,付守杰在担任广汽本田汽车有限公司董事长、广汽三..."
广汽集团股票遭高管集体坚持 套现850多万元,腾讯网,2019年8月15日,"7月12日,广汽集团发布了关于董事及高级管理人员减持股份进展公告,公告显示,减持计划期间内,公司部分董事、监事、高级管理人员吴松、陈茂善、李少、王丹、眭立减持计划实施减持,统计显示,上述五位高管共减持751668股,约占总股0.0074%,套现..."
失速门真相公布!广汽本田主动召回“加速受限”雅阁,汽车头条,2019年8月9日,"而在收到消费者的反馈之后,广汽本田迅速相应并给予高度重视,第一时间对“加速受限”的雅阁采取主动召回和启动解决和处理办法,以彻底解决安全隐患问题。 8月8日,汽车头条APP据国家市场监管总局网站公告获悉,广汽本田汽车有限公司根据《缺陷..."
携手·坚持梦想的我们 | 2019广汽Acura特约店年中大会圆满召开,搜狐网,2019年7月13日,"7月12日,主题为“携手·坚持梦想的我们”的2019广汽Acura特约店年中大会在广州召开。广汽本田汽车销售有限公司第二事业本部销售部部长廖振宇先生主持大会。 今年上半年乘用车市场寒意袭来,受经济形势及国六标准提前实施影响,上半年整体乘用..."
近一个月未登龙虎榜 广汽集团上半年销量微跌,搜狐网,2019年7月9日,"广汽集团近几个月高管持续减持也成为大众关注的重点,据广汽集团所发布的公告显示,公司董事、高级管理人员曾庆洪、冯兴亚、吴松、陈茂善、李少、王丹、陈汉君及眭立共计8位集团高层因个人资金需求,通过集中竞价方式减持不超过各自所持有本公司..."
广汽集团又一高管减持完毕 继续布局新能源领域,搜狐网,2019年7月3日,"李少作为广汽集团董事、监事、高级管理人员,持股数量为949667股,持股比例0.0093%。 4月30日,广汽集团发布了《广州汽车集团股份有限公司董事及高级管理人员减持股份计划公告》,公司董事、高级管理人员曾庆洪、冯兴亚、吴松、陈茂善、李少、..."
广汽2018年度股东大会 曾庆洪透露了哪些关键信息?,易车网,2019年6月4日,"2019年4月10日,广汽集团披露《广州汽车集团股份有限公司董事及高级管理人员减持股份计划公告》,公告称公司董事、高级管理人员曾庆洪、冯兴亚、吴松、陈茂善、李少、王丹、陈汉君、眭立拟自公告发布之日后的15个交易日后的6个月内,通过集中竞..."
首发!广汽本田奥德赛锐混动重磅上市 著名主持人李响现身主持,网易订阅,2019年5月26日,"4月16日,广汽本田奥德赛混动版车型于成都正式上市。广汽本田董事长李少、总经理佐藤利彦、执行副总经理郑衡、广汽本田党委书记程林、本部长袁小华出席发布会,著名主持人李响担任现场主持。 近年来,随着MPV市场空间快速扩容以及汽车消费升级,..."
5月15日 | 自主品牌市场份额创三年新低,搜狐网,2019年5月15日,"除吴松外,4月11日,广汽集团曾发布公告称,公司高管陈茂善、陈汉君、睦立、王丹、李少、吴松、曾庆洪、冯兴亚等8名高管计划自2019年5月8日至2019年11月7日,以竞价或大宗交易方式减持不超过158.31万股,占总股本的0.02%。"
广汽集团高管集体减持 4月产销量均出现微跌,搜狐网,2019年5月15日,"有业内人士表示,广汽集团旗下的自主品牌广汽传祺销量大跌,其利润直接影响了广汽集团营收。像广汽集团,上汽集团都是靠着合资车企来盈利,现在丰田、本田销量逆势增长都无法弥补广汽集团利润,足以看出传祺“拖累”了广汽集团的利润。"
袁小华:广汽本田已经成为国内最多混动车型的企业,腾讯网,4月22日,"广汽本田汽车有限公司副总经理袁小华和广汽本田汽车销售有限公司第一事业本部副本部长兼销售部部长天野将典在上海车展上接受了媒体采访。 打开腾讯新闻,查看更多图片 > 锐·混动车型销量超23万台 本次车展,广汽本田参展的最大亮点是亮相了..."
"广汽集团一季度销售汽车49.655万辆,净利近24亿",腾讯网,8天前,"广汽本田一季度累计终端销量达180,169辆,同比增长52.7%;广汽丰田一季度累计终端销量207,686辆,同比增长62.6%。两大合资品牌凭借强大的产品力和品牌力,在汽车消费升级及换购需求释放的背景下持续占据汽车消费市场高地。 今年,“两田”还..."
"上海车展本田中国再发力,多款战略新车齐亮相!以热销带领电动改革",腾讯网,4月26日,"2021年1月份,本田汽车在中国的终端汽车销量为157457辆,同比增长4.8%。其中,广汽本田汽车有限公司终端销量67321辆,同比下降12.2%,东风本田汽车有限公司终端销量90136辆,同比增长22.5%。 但是到了2月,本田总销量为81,556辆,同比增长622...."
【图】广汽本田“梦想同行Club”正式成立_汽车之家,汽车之家,4天前,"5月2日,在肇庆广东国际赛车场,千车万人共同见证下,广汽本田汽车文化组织——梦想同行Club正式成立。活动现场,由本土汽车文化意见领袖、国内TOP赛道顶级玩家组成的“明星”阵容强势亮相,“梦想同行Club”创始成员“CDM梦想家”和“赛道梦想..."
