title,source,time,summary
韦红革带队到珠海考察学习(图),岭南24小时,4月25日,韩城市政府将抢抓绿色低碳发展机遇，引导规范新能源产业市场，以一流的投资环境、保姆式的优质服务，为项目落地创造更优质、更宽松的营商环境，促进双方互利共赢发展。银隆新能源股份有限公司总裁赖信华表示，银隆与韩城有着深厚的情谊，通过...
"银隆新能源股份有限公司再被列为被执行人,执行标的超4824万",界面新闻,3月11日,银隆新能源股份有限公司成立于2009年12月，注册资本约11亿，法定代表人为赖信华，经营范围含新能源相关领域技术的研究开发；锂离子动力电池和储能电池的生产、销售；混合动力、纯电动车动力总成、电机、电源管理系统及相关领域的技术开发等。...
500家新能源汽车制造业公司:银隆新能源股份有限公司(客车+轻客),搜狐网,2020年10月7日,"2018年3月,原银隆董事长兼总裁孙国华即将卸任,继任者为银隆第五大股东普润资本总经理卢春泉,曾在格力任职的原银隆副总裁赖信华担任银隆公司总裁。银隆董事长与总裁两个职位都不再由创始人团队中的人员担任,但创始人魏银仓、原总裁孙国华继续..."
发生工商变更 董明珠退出银隆新能源股份有限公司股东,易车网,2020年6月25日,"近日,我们从相关渠道获悉,银隆新能源股份有限公司发生工商变更,董明珠从股东中退出。根据资料显示,银隆新能源股份有限公司成立于2009年,总部位于珠海,注册资本约11亿,法定代表人为赖信华,是一家以锂电池产业为经营核心,集电动汽车动力总成、..."
银隆新能源年内股份9次拍卖董明珠造车路转向?,东方财富网,2020年10月30日,"而在提振银隆新能源上,董明珠亦是亲力亲为。据天津日报报道称,董明珠和银隆新能源总裁赖信华在10月9日拜访天津市政府。会谈中董明珠称,将全力推动银隆系列产品产业在津发展,打造具有核心竞争力的新技术品牌。"
"银隆新能源股份有限公司成被执行人,执行标的超300万",金融界,2020年10月28日,天眼查App显示，10月27日，银隆新能源股份有限公司新增一条被执行人信息，执行法院为珠海市金湾区人民法院，执行案号为（2020）粤0404执3743号，执行标的为3132371。银隆新能源股份有限公司成立于2009年12月，法定代表人为赖信华，注册资本...
"银隆新能源关联公司申请""一种客车""专利",搜狐网,4月8日,"银隆新能源股份有限公司成立于2009年12月30日,法定代表人是赖信华,注册资本110333.5385万,所属行业为科技推广和应用服务业,经营范围包括对新能源相关领域技术的研究开发;锂离子动力电池和储能电池的生产、销售;混合动力、纯电动车动力总成..."
银隆新能源被列被执行人 董明珠造车有喜有忧,潇湘晨报,2020年10月29日,广州日报讯 （全媒体记者文静）受董明珠力挺的银隆新能源最近忧喜参半，一方面被列为被执行人，另一方面银隆纯电动市政环卫车在洛阳下线交付。银隆新能源股份有限公司成立于2009年12月，法定代表人为赖信华，注册资本约11.03亿。公司经营...
银隆新能源成被执行人等7条快讯,搜狐网,2020年10月28日,"企查查APP显示,10月27日,银隆新能源股份有限公司被珠海市金湾区人民法院列入被执行人,案号为粤0404执3743号,执行标的3132371元。工商信息显示,银隆新能源股份有限公司成立于2009年,注册资本约11亿元人民币,法定代表人为赖信华。经营范围包..."
银隆新能源被执行1072万元 为本月第二起,东方财富网,2020年11月25日,"公开资料显示,银隆新能源股份有限公司成立于2009年,总部位于珠海,法定代表人为赖信华,注册资本110333.5385万元;经营范围包括对新能源相关领域技术的研究开发;锂离子动力电池和储能电池的生产、销售等。"
银隆新能源第六次被列被执行人。律师:不会影响董明珠消费,搜狐网,2020年11月14日,"银隆新能源股份有限公司成立于2009年12月,注册地址为金湾区三灶镇,注册资本约11亿,法定代表人为赖信华,经营范围包括对新能源相关领域技术的研究开发;锂离子动力电池和储能电池的生产、销售等。"
"媒体报道:银隆新能源2395万股月底拍卖,起拍价6.46亿元",金融界,2020年10月14日,天眼查App显示，银隆新能源股份有限公司成立于2009年12月，法定代表人为赖信华，注册资本约11.03亿，公司经营范围包括：对新能源相关领域技术的研究开发；锂离子动力电池和储能电池的生产、销售等。天眼查App显示，该公司公司目前工商披露的...
董明珠被曝退出银隆 新能源客车行业困局已现?,中国汽车报社有限公司,2020年7月8日,"董明珠的入驻以及资金加持,并没有为银隆新能源带来高增长。而不论是董明珠,还是银隆现任董事长赖信华,都曾在公开场合表示,银隆新能源造车困局的出现,主要源于原管理层的不力。而大刀阔斧解决管理混乱这一历史遗留问题,就像是背着包袱爬坡..."
"银隆新能源,董明珠“退”还是“不退”",东方财富网,2020年7月7日,银隆新能源管理层被大刀阔斧改革后，管理层主要人员均出自格力系。目前银隆新能源法定代表人赖信华此前就是格力电器郑州公司的总经理，在工商信息里，赖信华还是银隆新能源的董事长和总经理，格力集团财务公司高管李志现在还担任广通汽车监事。
"董明珠未放弃银隆新能源,造车4年还能坚持多久?",未来汽车日报,2020年7月4日,2017年底，魏银仓辞任银隆董事长，由孙国华接任。半年内孙国华又被罢免，由中立的普润资本董事长卢春泉接任。最终2019年初，银隆全面由格力接手，董事长换成格力系的赖信华，7位副总裁中有4位都是格力背景。也是在2018年11月，银隆内斗...
被传退出银隆新能源 董明珠如何从巨亏泥潭中抽身打翻身仗?,颜有光,2020年6月27日,银隆新能源股份有限公司成立于2009年，总部位于珠海，注册资本约11亿，法定代表人为赖信华，是一家以锂电池产业为经营核心，集电动汽车动力总成、整车制造、智能电网储能系统研发、生产、销售为一体的新能源高新技术企业。董明珠持股比例为17....
董明珠退出股东? 银隆新能源:报道信息严重失实!,EV视界,2020年6月27日,"上述有关本公司的信息严重失实。我司股东董明珠女士股权未发生任何变更。 感谢社会各界的关注与支持! 银隆新能源股份有限公司 2020年6月25日 资料显示,银隆新能源成立于2009年,注册资本约11.03亿元,法定代表人为赖信华,是一家以锂电池产..."
银隆新能源:董明珠女士股权未发生任何变更,东方财富网,2020年6月26日,截至发稿，银隆方面未回复记者的问询。公开资料显示，前身是“珠海银隆新能源有限公司”的银隆新能源股份有限公司成立于2009年，总部位于珠海，注册资本约11亿，目前法定代表人为赖信华，是一家以锂电池产业为经营核心，集电动汽车动力总成、...
董明珠造车梦破?曝董明珠退出银隆新能源股东,搜狐网,2020年6月25日,"天眼查显示,6月24日,银隆新能源股份有限公司发生工商变更,董明珠从股东中退出。银隆新能源股份有限公司成立于2009年,总部位于珠海,注册资本约11亿,法定代表人为赖信华,是一家以锂电池产业为经营核心,集电动…"
董明珠从银隆新能源股东中退出!,手机凤凰网,2020年6月25日,"6月24日,银隆新能源股份有限公司发生工商变更,董明珠从股东中退出。 资料显示,银隆新能源股份有限公司成立于2009年,总部位于珠海,注册资本约11亿,法定代表人为赖信华,是一家以锂电池产业为经营核心,集电动汽车动力总成、整车制造、智能电网..."
董明珠退出银隆新能源股东行列,北京商报,2020年6月25日,北京商报讯（记者 石飞月）6月25日，天眼查显示，银隆新能源股份有限公司（以下称“银隆新能源”）发生工商变更，格力电器董事长董明珠从股东中退出。资料显示，银隆新能源成立于2009年12月，注册资本约11亿元，法定代表人为赖信华，公司...
"银隆新能源再成被执行人,执行标的近1072万元",腾讯网,2020年11月24日,"企查查风险信息显示,11月20日,银隆新能源股份有限公司被上海市静安区人民法院列入被执行人名单,执行标的10719943元。银隆新能源股份有限公司成立于2009年,注册资本约11亿元人民币,法定代表人为赖信华。经营范围包括对新能源相关领域技术的..."
"银隆新能源股权被拍卖,董明珠造车路在何方?",搜狐网,2020年10月15日,"特别值得注意的是,与董明珠同行的,还有银隆新能源股份有限公司总裁赖信华。 银隆新能源的发展虽然困难,但是似乎并没有停止步伐。此次银隆新能源的2395万股股权,最终花落谁家,一切拭目以待。返回搜狐,查看更多..."
卡门简报|银隆新能源被列为被执行人;恒驰车型命名规则正式发布,未来汽车日报,2020年11月11日,银隆新能源被列为被执行人，执行标的超30万 近日，银隆新能源股份有限公司被珠海市金湾区人民法院列为被执行人，执行标的339634。银隆新能源股份有限公司成立于2009年12月，注册资本约11亿，法定代表人为赖信华，经营范围包括对新能源相关...
银隆公交在澳门首次试车 “珠海造”助力澳门绿色交通持续发展,潇湘晨报,1月28日,此次银隆新能源车辆的试车，必将为澳门环保巴士注入新动能，树立新标杆，进一步加快澳门全面新能源化，丰富澳珠合作内涵。“绿色交通建设，不仅是解决居民对公共交通运输服务的需求。”银隆新能源总裁赖信华介绍，银隆新能源更希望通过绿色巴士...
"银隆股份拍卖900万股无人接招,董明珠造车梦何去何从?",全国能源信息平台,2020年11月1日,”中国市场学会营销专家委员会秘书长薛旭谈到，近来，在格力支持下，银隆新能源新增研发、销售新能源汽车充电桩、倒车雷达等汽车电子产品。此外，董明珠还在银隆新能源的很多业务上亲力亲为。10月9日，董明珠与银隆新能源总裁赖信华造访天津市...
银隆的“增长飞轮”,新华社客户端,2020年10月29日,10月27日，过了下午1点，赖信华还在开会。从珠海赶到洛阳的两天时间里，身为银隆新能源总裁的赖信华已连轴转开了好几个会，这是银隆的一个关键时刻。一场银隆新能源的产品升级大戏，刚刚在这里完成。当日上午，“洛阳高新区&银隆新能...
银隆股权出售乏人问津 董明珠造车梦风雨飘摇,网易财经,2020年10月27日,"银隆新能源股份有限公司(下称“银隆”)坐落于珠海市金湾区三灶镇科技工业园内的总部,目前看起来并无异常。 上周,第一财经记者在实地调查时看到,在银隆新能源园区内的办公大楼旁边,停着数十辆银隆新能源的大巴车,部分还贴上格力的品牌..."
"银隆,董明珠的黄粱一梦",车讯精选,2020年10月24日,在已经进行的7次拍卖中，银隆新能源共计划卖出股份3155万股，但最终仅成交了7万股，成交率只有2%。一方面，银隆新能源正在火急火燎地出售股权，但另一方面，10月初，董明珠在国庆复工后的第一时间为银隆站台，携银隆新能源的总裁赖信华（...
格力每年间接输血银隆5亿 天津能否圆了董明珠的汽车梦?,手机凤凰网,2020年10月10日,"据天津日报报道,10月9日下午,市委、市政府主要领导同志与珠海格力电器有限公司董事长董明珠,银隆新能源股份有限公司总裁赖信华一行会谈交流。 在会谈中,天津市主要领导同志希望格力电器、银隆新能源紧紧抓住京津冀协同发展机遇,发挥品牌、技术..."
"董明珠上班第一天就去了天津,她和银隆的姻缘还在继续",张栋伟,2020年10月10日,10月9日下午，天津市委、市政府领导接见了来访的珠海格力电器有限公司董事长董明珠一行。热别值得注意的是，与董明珠同行的，还有银隆新能源股份有限公司总裁赖信华。银隆成立于2008年，在董明珠入股之前，不过是一家名不见经传的小公司，...
银隆新能源股份大拍卖!董明珠造车梦碎?,搜狐网,2020年10月15日,"天眼查App显示,银隆新能源股份有限公司成立于2009年12月,法定代表人为赖信华,注册资本约11.03亿,公司经营范围包括:对新能源相关领域技术的研究开发;锂离子动力电池和储能电池的生产、销售等。"
"银隆新能源被列为被执行人,执行标的超4824万",九派新闻,3月11日,截至目前，银隆新能源股份有限公司累计被执行总金额超5000万。银隆新能源股份有限公司成立于2009年12月，注册资本约11亿，法定代表人为赖信华，经营范围含新能源相关领域技术的研究开发；锂离子动力电池和储能电池的生产、销售；混合动力、纯...
银隆新能源再成被执行人 合计执行标的已超5000万元,东方财富网,3月11日,"资料显示,银隆新能源股份有限公司成立于2009年,总部位于珠海,注册资本约11亿,是一家以锂电池产业为经营核心,集电动汽车动力总成、整车制造、智能电网储能系统研发、生产、销售为一体的新能源高新技术企业,法定代表人为赖信华。"
银隆新能源股份有限公司被列为被执行人,东方财富网,3月11日,"原标题:银隆新能源股份有限公司被列为被执行人 (文章来源:财经网) 郑重声明:东方财富网发布此信息的目的在于传播更多信息,与本站立场无关。 登录|注册表情 发布清除 郑重声明:用户在社区发表的所有资料、言论等仅代表个人观点,与本网站..."
银隆新能源被列被执行人:执行标的超273万 董明珠在该公司任董事,新浪财经,1月18日,截至目前，银隆新能源股份有限公司累计被执行总金额超1345万。截图来源：天眼查 根据天眼查信息显示，银隆新能源股份有限公司成立于2009年12月，注册资本约11亿，法定代表人为赖信华，经营范围含新能源相关领域技术的研究开发；锂离子动力电池...
"银隆新能源再成被执行人,执行标的33.96万元",腾讯网,2020年11月11日,"企查查APP显示,银隆新能源股份有限公司成立于2009年,注册资本约11亿元人民币,法定代表人为赖信华。经营范围包括:对新能源相关领域技术的研究开发;锂离子动力电池和储能电池的生产、销售等。 编辑 徐超 校对 刘军..."
银隆新能源2200万股月底拍卖 起拍价5.94亿元,腾讯网,2020年10月14日,"启信宝数据显示,银隆新能源成立于2009年12月30日,注册资本为110333.5385万元,法定代表人是赖信华。公司目前有24名股东,第一大股东为珠海市银隆投资控股集团有限责任公司(下称银隆集团),持股比例为25.9895%;第二大股东为董明珠,持股比例..."
"银隆新能源成被执行人,执行标的超300万",中国经济网,2020年10月29日,工商信息显示，银隆新能源股份有限公司成立于2009年，注册资本约11亿元人民币，法定代表人为赖信华。经营范围包括：对新能源相关领域技术的研究开发；锂离子动力电池和储能电池的生产、销售；混合动力、纯电动车动力总成、电机、电源管理系统及...
上汽红岩2000台钛酸锂纯电动重卡战略签约,西迁人,4月17日,河北武安市市长董志毅、副市长田俊勇，上汽红岩副总经理、营销公司总经理杨培强，银隆新能源总裁赖信华等领导出席当天活动。近年来，上汽红岩在上汽商用车“新四化”战略指引下，不断加快自主研发与创新，致力于为客户带来更智能、绿色、高效、...
银隆新能源6位董事退出 其中包含董明珠,东方财富网,2020年1月20日,"银隆新能源股份有限公司成立于2009年12月,注册资本约11亿,法定代表人为赖信华,公司经营范围为对新能源相关领域技术的研究开发;锂离子动力电池和储能电池的生产、销售;混合动力、纯电动车动力总成、电机、电源管理系统及相关领域的技术开发;汽..."
再被列为被执行人 银隆新能源造车之路为何如此坎坷?,环球网,2020年1月10日,2018年3月，卢春泉成为珠海银隆董事长，有格力背景的赖信华出任总裁，赖信华随后也成为银隆系在全国30家子公司的法人代表。此时，银隆新能源的管理高层已逐步替换为董明珠的格力系人员。人事调整或许只是表象，内在危机一直在滋生蔓延。2018年...
"董小姐公司又出事,银隆新能源被列为被执行人,回应涉中信证券",市界,2019年11月21日,"市界查阅中国执行信息公开网发现,银隆新能源股份有限公司在11月13日被北京市第一中级人民法院列为被执行人,执行标的为36667568元。 天眼查信息显示,银隆新能源成立于2009年12月,注册资本约11亿,法定代表人为赖信华,其同时任银隆新能源总裁..."
独家|银隆新能源成被执行人背后:董明珠曾被举报违规入股,雷达财经,2019年11月20日,董明珠话音落地后，银隆新能源迎来密集调整。2017年11月，魏银仓辞任董事长，跟随魏银仓多年的副手孙国华接任，并兼任总裁。2018年3月，卢春泉成为珠海银隆董事长，赖信华为总裁。赖信华随后也成为银隆系在全国30家子公司的法人代表。魏银仓...
董明珠掌舵的银隆新能源再次被法院列为被执行人,东方财富网,2019年11月20日,"银隆新能源成立于2009年12月,注册资本约11亿,法定代表人为银隆新能源总裁赖信华。公司经营范围包括对新能源相关领域技术的研究开发、锂离子动力电池和储能电池的生产、销售等。 银隆新能源的大股东为珠海市银隆投资控股集团有限责任公司(实际..."
被董明珠力挺的银隆新能源成被执行人,搜狐网,2019年11月19日,"事实上,今年1月,银隆新能源就曾被珠海市金湾区人民法院列为被执行人。 图/视觉中国 银隆新能源股份有限公司曾用名为珠海银隆新能源有限公司,成立于2009年12月,注册资本约11亿,法定代表人为银隆新能源总裁赖信华。公司经营范围包括对新能源..."
从“脸谱”双层巴士聊聊银隆新能源的“造车美学”,中国客车网,2019年11月14日,"“京剧艺术是我国的国粹,是民族文化的瑰宝,也是中国走向世界的一张名片。”银隆新能源股份有限公司总裁赖信华向客车网表示:“京剧不仅仅对于北京,对于全中国、全世界都是一个非常强烈的文化信号。银隆新能源融合了京剧脸谱的概念,通过创新设..."
展国粹风华!银隆新能源新一代“脸谱”纯电动双层巴士发布,中国客车网,2019年11月1日,"极具中国风的新一代纯电动巴士——银隆新能源“脸谱”双层巴士首次对外亮相,中国道路运输协会城市客运分会领导、各地公交集团领导、行业专家及银隆新能源总裁赖信华等出席,深入探讨传统文化新载体与城市公共交通装备相结合的意义,共同见证银隆..."
格力电器加码新能源 一个月内两度“密会”银隆,新浪财经,2019年9月21日,"据了解,该公司为广东省局域能源互联网创新中心,成立于8月20日,注册资本1亿元。该公司有6大股东,其中格力电器持股75%,格力电器董事长董明珠担任新公司法定代表人兼董事长,银隆新能源总裁赖信华任监事。 该公司的业务范围有局域能源互联网..."
一个月内两度牵手银隆 格力加速新能源布局,每日经济新闻,2019年9月10日,"银隆新能源则派出公司总裁赖信华担任监事。 图片来源:视觉中国 启信宝显示,国创能源创新中心的经营范围是局域能源互联网领域内的能源路由器、光伏化直流化设备及新能源设备、计量检测等相关部件、设备及产品的研发、试制与销售。 就在前不..."
天津银隆新能源 被爆积压上百辆公交车半年已久,电车之家网,2019年8月2日,"因此银隆新能源的管理层再次发生变动,2018年3月25日,卢春泉担任银隆新能源董事长,赖信华担任公司总裁,银隆新能源另一创始人孙国华则不再担任公司董事长及总裁职务。在今年4月,银隆新能源的法定代表人也变更为赖信华。"
涉嫌骗补过亿元 银隆新能源自曝家丑为哪般?,搜狐网,2019年4月26日,"随后,银隆新能源便启动管理层调整。 2018年4月,曾在格力电器任职的赖信华和李志,分别担任银隆新能源的法人代表和董事会秘书。此时,魏银仓、孙国华等原有管理团队均退出了最高管理层,银隆新能源的决策权和经营权基本已被新的管理团队掌控..."
银隆新能源金窟变魔窟?前高管出逃、落网 董明珠会否再出手,手机凤凰网,2019年4月26日,"2019年3月银隆新能源召开供应商大会,总裁赖信华表示,2018年,在新能源补贴退坡、部分新能源企业业绩下滑的大背景之下,银隆营业总收入首次突破100亿元,新能源客车累计销量7278台,位居行业第三,2019公司经营总目标是实现全年总营收150亿元,..."
银隆新能源涉 14 亿元诈骗案始末 如何解救能走出自身困局,ZAKER资讯,2019年4月26日,"2018 年 3 月,接替魏银仓的孙国华也宣布不再担任银隆董事长兼总裁,换成卢春泉担任新的董事长,赖信华 ( 格力电器郑州公司原总经理 ) 担任总裁。至此,银隆创始团队退出管理层,公司由格力集团董明珠实际控制。"
银隆新能源:前董事长兼总裁孙国华等6人已被刑拘,经济网,2019年4月25日,"2018年3月25日,银隆新能源董事会决定免去孙国华的董事长和总裁之职,由卢春泉出任公司董事长,格力出身的赖信华出任公司总裁。 2018年11月13日,银隆新能源发布《致银隆新能源股份有限公司各股东的函》,并声称公司新一任董事会在履职过程..."
砥砺前行 携手共赢|银隆新能源举办2019年供应商大会,中国客车网,2019年3月25日,"为了更好地贯彻落实国家新能源汽车发展战略,顺应新能源行业不断前行的发展潮流,更好地构建和稳固新能源产业链。 2019年3月24日,银隆新能源在珠海华发喜来登酒店举办了2019年供应商大会,银隆新能源总裁赖信华等领导出席大会,与来自五湖四海..."
"大股东彻底决裂,银隆新能源路在何方?",手机凤凰网,2019年1月10日,"赖信华等上任后,发现银隆新能源与银隆集团之间关联交易频繁,创始人魏银仓等涉嫌侵占公司利益。银隆新能源2018年11月13日对外公布了落款为11月7日的《致银隆新能源股份有限公司各股东的函》,自曝称超10亿资金被原董事长魏银仓等侵占。"
"银隆新能源股东“内斗”公开化,董明珠1436万元遭法院保全",红星新闻,2019年1月6日,"具体而言,2018年3月25日,卢春泉担任银隆新能源董事长,赖信华担任公司总裁,银隆新能源另一创始人孙国华则不再担任公司董事长及总裁职务。在今年4月,银隆新能源的法定代表人也变更为赖信华。 据媒体报道,赖信华在格力电器工作时间超10年。他..."
"银隆新能源“10亿侵占案”升级!争权欠债猛料频出,谁在说谎?",腾讯网,2019年4月20日,"2017年11月,魏银仓辞去银隆新能源董事长一职。 2018年3月,孙国华辞去银隆新能源总裁一职。同时,格力前高层赖信华出任银隆新能源总裁。 2018年4月,银隆新能源的法定代表人变更为赖信华。 据悉,魏银仓持有银隆集团全部股份,相当于间接持有银..."
董明珠魏银仓内斗升级 银隆新能源直呼魏孙宵小跳梁,同花顺财经,2018年11月16日,"据媒体报道,魏银仓于2017年11月底辞去了董事长职务;2018年3月,孙国华不再担任公司董事长及总裁职务,目前银隆新能源总裁为赖信华,法人代表也变更为赖信华。根据天眼查资料显示,董明珠为银隆新能源的大股东而并非实控人。 11月13日,银隆新..."
涉嫌侵占公款超10亿元!银隆新能源把前董事长魏银仓告上了法庭,金融界,2018年11月16日,2018年以来，银隆新能源出现了“订单下降、多地停工、员工出走”等传闻，加上暂停IPO的消息，银隆新能源一直停留在风口浪尖之上。 银隆新能源总裁赖信华称，造成公司目前困境的主要是历史遗留问题。如，以前内部根本没有管理，新团队接手...
银隆新能源:侵占利益一案与董明珠无关,东方财富网,2018年11月15日,"孙国华一直以来都是魏银仓的搭档,2018年4月4日,银隆新能源的法定代表人由孙国华变更为卢春泉,卢春泉为普润资产管理公司总经理,普润资产为银隆新能源的第五大股东。4月19日,法定代表人变更为赖信华。赖信华于2017年6月前后加入银隆,升任..."
"银隆新能源吞金10亿被起诉,董明珠背锅将造车进行到底",搜狐网,2018年11月15日,"董明珠曾在多个场合公开表示,银隆新能源的企业管理是存在问题的,曾在央视的《对话》节目中,董明珠与魏银仓对经营理念就有不同的见解,节目播出后一个月,魏银仓就辞去银隆董事长职务,而原格力分公司总经理现银隆总裁赖信华也曾公开表示银隆..."
董明珠被告!银隆新能源技术路线小众致“窝里斗”?,OFweek维科网,2018年11月15日,"有媒体报道称,赖信华在格力电器工作时间超过10年,而银隆新能源管理结构之所以发生大的变化,是因为公司原来的内部管理较为混乱,新股东希望能借此对公司进行调整。 赖信华等新高管上任后,发现公司与银隆集团之间存在着频繁的关联交易。其认为..."
