title,source,time,summary
全国工人先锋号丨高原之上铸高峰 突破高海拔输电瓶颈,国家电网报,2021-05-08 11:18,近五年，该中心承担国家电网有限公司级科研项目4项、配合9项，承担国网青海省电力公司级科研项目9项、配合1项，创新成果获青海省政府科技进步一等奖1项、二等奖2项；中国电力科技创新大奖2项；电力建设科技进步一等奖1项、二等奖3项；...
国网青海省电力公司启动“碳达峰、碳中和”专项监督,同花顺财经,4月27日,"为确保《国家电网有限公司“碳达峰、碳中和”行动方案》(以下简称《行动方案》)在青海落地落实,国网青海省电力公司纪委于近期发布“碳达峰、碳中和”监督方案和检查工作指引,正式启动专项监督工作,发挥监督执行作用,推动各项工作有效落实。"
国网陕西省电力公司源网荷多要素联动消纳新能源,中国电力网,2021-05-08 11:18,"本报讯 4月30日11时15分,陕西电网新能源发电电力达到1000.6万千瓦,占同时刻省调发电电力的47.7%。 国网陕西省电力公司及时启动调度联动,在午间新能源大发时段通过网省两级电力辅助服务市场增加外送电力200万千瓦,组织省内火电机组..."
电能替代——持续为“双碳”目标贡献国网力量,世纪新能源网,今天,"清洁取暖项目的落地离不开坚强电网的支撑。2017年6月,国网青海省电力公司投资1.21亿元,建设玛多县“煤改电”清洁取暖配套电网,新建玛多110千伏变电站1座、改扩建35千伏变电站1座,新增变电容量63兆伏安,新建110千伏线路4.2千米、10千伏..."
青海省绿电协会正式成立,国际电力网,4月22日,"站在新的历史起点,为深入贯彻落实习近平总书记“四个革命、一个合作”能源安全新战略,打造国家清洁能源产业高地,加快建设重要新型能源产业基地,助力国家实现碳达峰和碳中和目标,国网青海省电力公司、青海黄河上游水电开发有限责任公司、华能..."
国网青海电力国家重点研发计划进展顺利:将提高电网新能源消纳能力,中国新闻网,4月1日,图为国网青海电科院试验人员在青海省内新能源场站开展《多能源电力系统互补协调调度与控制项目》设备测试。　何炳勋　摄 中新网西宁4月1日电 (李江宁 何炳勋)1日，记者从国网青海省电力公司了解到，目前，由国网青海省电力公司牵头...
国家电网有限公司利用电力大数据协助政府部门开展污染防治工作,中国电力网,4月25日,"这一系统由国网山东省电力公司牵头研发,目前在滨州试点应用,经过数据验证和系统优化后,将全面覆盖山东省16地市136个区县,对山东省58个省控环境空气监测站和121个县级环境空气监测站及3500多家大气环境重点排污企业进行数据实时监测分析,形..."
我省两项专利获中国专利优秀奖,腾讯网,4月22日,"新增的4家省级知识产权优势企业,分别是:青海互助青稞酒股份有限公司、青海黄河上游水电开发有限责任公司光伏产业技术分公司、国网青海省电力公司西宁供电公司、青海送变电工程有限公司。 “十三五”期间,我省共培育21家国家级、省级知识产权..."
投资16.99亿元 3997个农网改造工程助力甘肃乡村振兴,腾讯网,4月22日,"4月21日记者从甘肃省政府新闻办召开的新闻发布会上获悉,今年,国网甘肃省电力公司将投资16.99亿元,新建改造264项3997个单体工程,补齐乡村供电服务短板,助力乡村振兴。 乡村振兴,电力先行。国网甘肃省电力公司将推进农网巩固提升工程,补齐..."
青海已输送100亿,腾讯网,4月21日,"记者从国家电网青海省电力公司获悉,青海-河南±800千伏特高压直流工程已累计向华中等地区输送“绿电”100亿千瓦时。 打开腾讯新闻,查看更多图片 > 青豫直流工程是世界上首条专为清洁能源外送建设的特高压通道。工程起于青海省海南藏族自治..."
