title,source,time,summary
华电能源股份有限公司,搜狐网,4月24日,"华电能源股份有限公司于2021年4月13日以电子邮件和书面方式发出召开十届八次董事会的通知,会议于2021年4月22日采用现场会议和通讯方式相结合的方式召开,公司董事9人,在公司十楼会议室参加现场会议的8人,董事王华斌以通讯方式参会表决。公..."
国电南自:国电南自2020年年度报告摘要,同花顺财经,3月26日,"国电南京自动化股份有限公司 2020年年度报告摘要 一 重要提示 1本年度报告摘要来自年度报告全文,为全面了解本公司的经营成果、财务状况及未来发展规划,投资者应当到上海证券交易所网站等中国证监会指定媒体上仔细阅读年度报告全文。"
国电南自:国电南自第七届董事会第十二次会议决议公告,同花顺财经,3月26日,"本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏,并对其内容的真实性、准确性和完整性承担个别及连带责任。 一、董事会会议召开情况 (一)国电南京自动化股份有限公司第七届董事会第十二次会议的召开及程..."
国电南自:2020年第一次临时董事会会议决议公告,证券之星,2020年12月23日,"(一)国电南京自动化股份有限公司2020年第一次临时董事会会议的召开及程序符合《公司法》、《公司章程》及有关法律、法规的要求,会议合法有效。          (二)本次会议通知于2020年12月11日以电..."
国电南自:6001.88万股12月21日解禁,搜狐网,2020年12月14日,"2020年半年报显示,国电南自的主营业务为电力自动化设备,占营收比例为:99.21%。 国电南自的董事长是王凤蛟,男,52岁,毕业于哈尔滨船舶工程学院热力涡轮机专业,工学学士,西安交通大学EMBA工商管理硕士,正高级工程师。 国电南自的总经理是..."
亏损!国电南自:2020年半年度净利润约-1.29亿元,搜狐网,2020年8月19日,"2019年年报显示,国电南自的主营业务为电力自动化设备,占营收比例为:99.55%。 国电南自的董事长是王凤蛟,男,52岁,毕业于哈尔滨船舶工程学院热力涡轮机专业,工学学士,西安交通大学EMBA工商管理硕士,正高级工程师。 国电南自的总经理是经..."
广西柳州北部生态新区11家企业集中入园,中新网广西新闻,2020年6月28日,"国电南京自动化股份有限公司董事长王凤蛟、紫光集团中国区副总裁杨爽代表入驻企业先后上台发言。他们均表示,很开心能融入柳州北部生态新区这个“大家庭”,将倾尽全力与社会各界共同建设新区,共同分享新区发展的成果。"
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年4月2日,4、国电南京自动化股份有限公司 公司注册地:江苏省南京市江宁开发区水阁路39 号 法定代表人:王凤蛟 注册资本:69526.518万元人民币 经营范围是:继电保护系统、控制系统、电力自动化系统、监测系统、管理信息系统、调度自动化系统、轨道交通...
国电南自去年净利5221万同比增39% 董事长王凤蛟年薪72万元,金融界,2019年3月29日,"董事长王凤蛟年薪72.01万元,总经理、董事、总法律顾问经海林年薪73.20万元,总工程师、董事郭效军年薪60.85万元,财务总监、董事、董事会秘书解宏松年薪63.13万元,董事会秘书俞舸年薪39.80万元。 挖贝网资料显示,国电南自当前产业涵盖..."
贵州黔源电力股份有限公司2018年度报告摘要,搜狐网,2019年3月28日,(以下简称华电电科院)、国电南京自动化股份有限公司(以下简称国电南自)、贵州乌江清水河水电开发有限公司(以下简称清水河公司)、华电郑州机械设计研究院有限公司(以下简称华电郑机院)等关联企业在采购、提供服务等业务领域发生持续的日常经营...
