title,source,time,summary
"董小姐被骗了?万江新能源违规使用公司名称,强强联合成骗局!",大金牛财经,2019年7月21日,"就在前段时间,河南万江新能源开发有限公司在自己的官网上发布了一则和宫格电器合作的消息,公告内容显示:格力电器将会与万江集团在珠海达成战略合作,并且联手推动清洁能源的开发利用。尤其是对于中深层地热综合开发的利用。万江新能源还表示称..."
"合作共赢,开拓清洁供热新领域 市热力总公司首个新能源供热战略...",搜狐网,2019年4月19日,"4月16日下午,郑州市热力总公司与河南万江新能源开发有限公司《地热综合开发利用项目战略合作意向书》正式签约。全国人大代表、万江集团董事长陈泽民,万江集团总裁侯涛,热力总公司党委书记、总经理张舒,副总经理郭颖悟,总工程师张昌豪参加了签..."
董明珠被蒙?万江集团裸奔10年 董事长半年前蹊跷入股,红商网,2019年7月22日,"截至目前,陈泽民在万江新能源持股30.19%,为公司二股东。大股东河南万疆实业有限公司的持股比例为45.28%,股权穿透后,自然人侯涛应为公司实际控制人。据万江新能源官网披露的资料,侯涛目前担任“万江集团副总裁”。"
"董明珠被“坑”!万江集团先上车后补票,成立十年连名字还没注册",聚富财经,2019年7月19日,"随后我们有记者开始致电万江新能源集团的负责人,而该负责人也解释了这其中的圈圈绕绕。原来万江集团和河南万江新能源是一家公司,早在十年前万江新能源就开始使用这个名称了,但是“万江集团”这个名称目前没有拿到批文。什么情况?到现在还..."
"牵手董明珠,“速冻汤圆之父”陈泽民“地热新能源”二次创业",环球老虎财经,2019年7月19日,"2018年12月28日,双方在郑州举办“地热综合开发”新闻发布会,会上陈泽民宣布地美特新能源公司与万江集团进行强强联合,地美特将进军地热供暖,推动提升河南省清洁能源使用比例,优化能源应用结构。彼时,万江新能源总裁侯涛表示,公司新的架构呼之..."
科技创新使万江成为地热领域的领军品牌,河南日报官方网站,2018年1月2日,"近日,在河南日报社、河南省卓越质量品牌研究所联合举办的“河南品牌计划”活动中,河南万江新能源集团凭借经营发展、创新转型、技术突破、市场开发等方面取得的优异成绩,荣获“2017年度最具创新力十大品牌”称号。"
北控清洁能源集团签约河南 布局地热利用产业,搜狐网,2017年7月1日,"万江集团董事长侯涛认为,此次签约是一次具有战略意义的牵手,标志着国内最大的地热供暖民营企业与知名大型清洁能源上市公司结为合作伙伴,这将对双方未来发展产生重要而深远的影响。 来源:河南日报 ..."
董明珠被“蒙”?万江集团“裸奔”10年 77岁董事长半年前蹊跷入股,上游新闻,2019年7月19日,"截至目前,陈泽民在万江新能源持股30.19%,为公司二股东。大股东河南万疆实业有限公司的持股比例为45.28%,股权穿透后,自然人侯涛应为公司实际控制人。据万江新能源官网披露的资料,侯涛目前担任“万江集团副总裁”。 关于“万江集团”此次..."
"河南“郑州富豪榜前十”新出炉?新锐正在崛起,你熟悉的名字或被覆盖",搜狐网,2020年11月28日,"公开资料显示,陈泽民,1943年1月出生,大学学历,现任三全集团、万江新能源集团董事长。陈泽民凭借创新兴趣致富的同时,三全还累计吸纳和安排10万余名农村劳动力就业,并带动了相关产业几十万人增收。"
"第41批“绿名单”来了,25家;这是星指1000的后备库,已达996家",搜狐网,2020年11月25日,"作为上星公司的后备企业,绿名单随上星公司定期发布(每月10日、25日),每期25家。 星指1000,由河南星指信息科技有限公司独立发布。 星指1000将形成这样一个格局: 第41批绿名单,25家 1. 万江新能源集团有限公司 ..."
