title,source,time,summary
张传卫:加大对装备制造企业扶持力度,新华网客户端,2020年5月24日,"全国人大代表、明阳智慧能源集团股份公司董事长张传卫就振兴实体经济,加快制造业发展等方面积极建言献策。 张传卫表示,通过新基建、新业态和新技术等一系列重大工程建设,更加牢固地夯实制造业这一国家经济根基,坚持以供给侧结构性改革为主线,..."
两会提案|张传卫:加快实体经济振兴筑牢制造业发展根基,网易订阅,2020年5月23日,"5月22日上午,十三届全国人大三次会议在人民大会堂开幕,国务院总理李克强作政府工作报告。全国人大代表、明阳智慧能源集团股份公司董事长兼CEO张传卫听完报告后,接受媒体采访时表示,报告内容暖心又给力,鼓舞人心、令人振奋、催人奋进。"
明阳智能:2021年第一季度报告正文,同花顺财经,8天前,"公司代码:601615 公司简称:明阳智能 明阳智慧能源集团股份公司 2021年第一季度报告正文 一、 重要提示 1.1 公司董事会、监事会及董事、监事、高级管理人员保证季度报告内容的真实、准确、完整,不存在虚假记载、误导性陈述或者重大遗漏,并..."
明阳智能 & 中国华电高层会晤,网易订阅,2020年12月16日,"12月14日,明阳智慧能源集团股份公司(以下简称“明阳智能”)董事长张传卫与中国华电集团有限公司(以下简称“中国华电”)董事长温枢刚在京举行会谈。双方围绕“十四五”期间可再生能源发展趋势、关键技术创新、深远海海上风电及陆上大基地、“..."
重磅!明阳智能与中国华能签署千万千瓦海上风电资源战略合作协议,网易订阅,2020年11月22日,"11月20日,明阳智慧能源集团股份公司与中国华能集团有限公司在明阳集团总部签署战略合作框架协议。明阳智慧能源集团董事长张传卫和中国华能集团有限公司总经理、党组副书记邓建玲共同出席仪式并见证签约。"
明阳智能股东增持,中国电力网,2月20日,"北极星风力发电网获悉,近日,明阳智慧能源集团股份公司于 2020 年 10 月 22 日披露了《关于公司控股股东增持公司股份计划的公告》,公司实际控制人张传卫先生和张瑞先生控制的公 司控股股东明阳新能源投资控股集团有限公司(以下简称“明能投..."
双方董事长见证 国家电投与明阳智能签署战略合作,世纪新能源网,2月9日,"明阳智慧能源集团股份公司(简称“明阳智能”)作为全球化清洁能源整体解决方案提供商,明阳智能致力于能源的绿色、普惠和智慧化,业务涵盖风能、太阳能产业,位居全球新能源企业500强第40位,全球海上风电创新排名第一位,正奋力打造全球知名的千..."
"重磅|华能、明阳搞事情,将推千万千瓦海上风电资源合作!",新浪财经,2020年11月25日,中国华能集团公司总经理、党组副书记邓建玲，党组成员、副总经理李富民，明阳智能董事长兼首席执行官张传卫，副董事长沈忠民出席仪式。根据协议，双方将本着互惠互利、合作共赢的原则，携手深化海上风电项目合作开发，布局海上千万千瓦级资源，...
华能与明阳智能签署战略合作框架协议,中国电力网,2020年11月24日,"11月20日,中国华能集团有限公司与明阳智慧能源集团股份公司在广东中山签署《战略合作框架协议》,并启动协议中首个明阳阳江青洲四50万千瓦海上风电项目。集团公司总经理、党组副书记邓建玲,党组成员、副总经理李富民,明阳智能董事长兼首席执行..."
"明阳智能:前三季度营收翻番,正推进12-15MW海上大机组研发",新浪财经,2020年11月3日,“海上风电作为能源转型中一个非常重要的环节，整个行业在起飞的上升阶段。我们现在是排头兵。”明阳智能董事长兼首席执行官张传卫表示，“我们是扎根广东的企业，傍海而生。海上风电是我们的长处和强项，”国信证券研报显示，2016-2019...
​三峡集团与明阳智能签署全面深化战略合作协议,搜狐网,2020年10月18日,"10月15日,三峡集团与明阳智慧能源集团股份公司(以下简称“明阳智能”)在京签署全面深化战略合作协议。签约前,三峡集团党组书记、董事长雷鸣山与明阳智能董事长张传卫举行座谈,双方就加强新能源领域合作等进行深入交流。三峡集团党组成员、副总..."
今日头条 | 明阳智能的道与术,网易订阅,2020年9月22日,"明阳智慧能源集团股份公司(下称“明阳智能”)董事长张传卫曾指出,新能源领域的硬科技和硬本领要靠创新。作为新能源企业,一要有定力,二要坚持自主创新,三要以开放创新的态度整合技术资源和人力资本。"
明阳智能:大风机与“大智慧”,索比光伏网,2020年9月16日,"现推出对明阳智慧能源集团股份公司(下称“明阳智能”,SH:601615)的专题报道:《明阳智能:大风机与“大智慧”》。 “令我最感动的事情,就是踏上自主创业之路!” 面对央视的镜头,在改革开放大潮中与电结下不解之缘、与风共舞的张传..."
明阳智能:海上风电平价时代 —— 蓝海崛起 风浪并存,世纪新能源网,2020年8月31日,"作为全球领先的海上风电整体解决方案提供商,明阳智慧能源集团股份公司(以下简称“明阳智能”)受邀出席本次大会并发表演讲。 近年来,中国海上风电产业发展迅猛,新增装机量已连续两年位居全球第一,成为全球海上风电产业发展的主力军。然而,..."
