title,source,time,summary
协鑫集成:拟投资180亿元建设60GW组件及配套产业基地,金融界,2020年3月27日,乙方：协鑫集成科技股份有限公司 （二）项目概况 1、项目名称：协鑫60GW组件及配套产业基地项目。2、项目实施进度：1）组件项目：项目总投资180亿元，其中固定资产总投资约120亿元，本项目实行统一规划，在2020年至2023年分四年四期投资...
协鑫集成深入锂电领域?牵手国能布局5G综合能源,搜狐网,2020年3月27日,"3月26日,协鑫集成科技股份有限公司(以下简称“协鑫集成”)发布公告称,协鑫集成于 2020年 3 月 25 日与北京国能电池科技股份有限公司(以下简称“国能电池”)控股子公司江西省科能伟达储能电池系统有限公司(以下简称“科能伟达”)签署《..."
防疫复产两手抓 协鑫集成晶圆项目落地,世纪新能源网,2020年3月5日,"2月10日,位于苏州工业园区的协鑫集成正式复工。协鑫集成管理中心有关负责人对中国证券报记者表示,公司充分利用线上办公与各地客户、合作伙伴及下属生产基地有效沟通,并通过蓝信小程序发布疫情日报,掌握公司的防疫情况,并多方筹措防疫物资。公..."
协鑫集成:2019年推动实施半导体第二主业落地,世纪新能源网,2019年6月12日,"6月10日,协鑫集成董事长罗鑫在回答投资者提问时表示,2019年公司将继续坚持光伏国际化战略,进一步开拓海外市场,提高海外市场利润贡献度;推动实施半导体第二主业落地,打造半导体领域的“协鑫”品牌,实现半导体与光伏新能源产业的双轮驱动。"
协鑫集成董事长:太阳能发电产业盛宴结束 光伏面板不再卖白菜价,世纪新能源网,2019年1月25日,"中国光伏面板生产商协鑫集成的董事长罗鑫周四在达沃斯表示,全球太阳能发电产业即将失去一个重要的竞争优势,中国光伏面板的价格自去年暴跌后已经开始反弹。罗鑫表示,光伏面板价格已经企稳,随着未来一两年中国进行行业整合,他预计光伏面板价格将..."
募集50亿元 协鑫集成转投半导体行业,ZAKER资讯,2018年12月9日,"北京商报讯(记者 李振兴)12 月 7 日,协鑫集成科技股份有限公司(以下简称 "" 协鑫集成 "")发布公告显示,拟以非公开发行股票方式募集 50 亿元资金,用于协鑫集成半导体项目,并补充流动资金。业内人士认为,目前,由于光伏行业遭遇困境,协鑫..."
协鑫集成托管华君电力3.5GW组件产能,世纪新能源网,2018年11月21日,"11月19日消息,协鑫集成发布公告,称其全资子公司句容协鑫集成科技有限公司2018年11月18日与华君电力科技(江苏)有限公司签署《组件生产线托管合作框架协议》。 双方本着友好合作、利益共享、优势互补的原则,就组件生产线托管事项达成合作意向..."
协鑫集成进军半导体材料产业?,搜狐网,2018年5月16日,"受行业组件价格下跌拖累,协鑫集团可能要放弃光伏组件业务。 近日,协鑫集成科技股份有限公司(下称协鑫集成)公告称,公司正在筹划涉及重大资产购买的事项,标的资产为一家国家重点支持的半导体企业。该企业属于半导体材料行业,交易对方为独立第三方..."
协鑫集成:签署战略合作框架协议,云财经网,4月17日,"协鑫集成(002506)于2016年6月2日与河南森源电气(002358)股份有限公司签订《战略合作框架协议》,公司与森源电气(002358)构建发挥协同效应的全面合作商务模式,双方就供应链合作、光伏电站系统集成等领域达成合作意向,具体合作内容由双方另行签署..."
协鑫集成2017年料扭亏为盈 朱共山卸任董事长,界面新闻,2018年1月6日,带领协鑫集成科技股份有限公司（下称协鑫集成，002506.SZ）2017年实现扭亏为盈后，担任董事长职务一年的协鑫集团“一把手”朱共山选择离开。1月5日晚间，协鑫集成公告称，公司董事总经理长朱共山辞去董事长职务，由总经理舒桦接替董事长职务；...
