title,source,time,summary
厦门钨业(600549)2015年01月06日召开股东大会,同花顺财经,2015年1月5日,"黄长庚,男,1965年11月出生,工商管理硕士,高级工程师。历任厦门钨业钨车间技术员、钨车间副主任、钨车间主任、生产副总经理、常务副总经理、海沧分公司总经理、副总裁、常务副总裁,2014年12月19日起担任公司总裁。"
稀土整合独创福建模式 厦门钨业年内组建稀土集团,中证网,2014年8月26日,"2013年初,连城县黄坊稀土矿以100万元协议转让给连城县冠龙稀土有限公司,冠龙稀土法人代表为厦门钨业稀土事业部的副总裁黄长庚。 据记者了解,福建的5张采矿证基本都于未来3年至5年内到期,至于权证能否延期,有行业内人士认为,一看是否还有..."
厦门钨业:稀土整合样本 以股权纽带整合“地方军”,东方财富网,2014年8月16日,"2013年初,连城县黄坊稀土矿以100万元协议转让给连城县冠龙稀土有限公司,冠龙稀土法人代表为厦门钨业稀土事业部的副总裁黄长庚。 至于长汀闽欣采矿证的整合,许火耀表示将“按省里方案来”。"
厦门钨业上报稀土大集团组建方案 “福建模式”或为主导,全景网,2014年7月8日,"厦门钨业常务副总裁黄长庚向本报记者确认,厦门钨业稀土集团的确已经上报到工信部,这个集团跟之前成立的福建稀有稀土集团不是一回事,厦门钨业稀土集团隶属于福建稀有稀土集团,前者是后者的子公司。"
厦门钨业高管违规兼职 数亿预付款“裸奔”,南方新闻网,2012年6月14日,"按照公告,厦门钨业的经营范围为钨及有色金属冶炼、加工,钨合金、钨深加工产品的生产和销售,与江西巨通亦有钨加工和销售业务,且两家企业均有钨矿的勘探和开采业务。 而厦门钨业副总裁黄长庚,曾于2010年2月至2011年2月担任江西巨通董事..."
厦门钨业3度撇清与钨矿关系 揭开钨矿关联方图谱,网易财经,2012年6月12日,"此外,厦门钨业副总裁黄长庚在2010年2月至2011年2月曾由厦门三虹推荐担任江西巨通董事,2011年2月后卸任、副总裁许火耀于2010年2月至2011年2月曾由厦门三虹推荐担任江西巨通监事会主席,2011年2月后改任江西巨通董事。"
厦门钨业:澄清事项,同花顺财经,2012年6月11日,"2012 年 6 月 9 日,中国经营报刊登《世界最大钨矿诞生记-厦门钨业(600549)涉嫌侵占股东资产》,文章对本公司是否参与江西大湖塘勘探开发、是否参与江西巨通管理、本公司是否存在利益输送、本公司与厦门三虹钨钼股份有限公司(以下简称“厦..."
世界最大钨矿:厦门钨业管理层或存侵占股东资产嫌疑,同花顺财经,2012年6月9日,"据了解,江西巨通的高层管理者多数已调换,其总经理郭天煌同时担任厦门三虹总经理。在厦门钨业董事长刘同高担任江西巨通董事长之前,厦门钨业副总裁、董秘许火耀及副总裁黄长庚就已经是江西巨通的董事会成员。黄长庚的身份是董事,许火耀为..."
厦门钨业撇清钨矿关系 机构称整合想象空间大,网易财经,2012年5月31日,"6月6日晚间,厦门钨业发布澄清公告,称经向本公司兄弟企业厦门三虹钨钼股份有限公司了解,报道中所称参与江西大湖塘钨矿勘探开发的“厦门钨业股份有限公司”应为厦门三虹钨钼股份有限公司(以下简称“厦门三虹”)。"
厦门钨业7高管年薪超百万 董事长去年收入197万,搜狐网,2012年3月29日,"虽然公司业绩大增,但厦钨的高管收入并未跟着水涨船高。 2011年年报显示,去年厦钨有七位高管年薪超过百万。其中,董事长刘同高和董事、总裁庄志刚均为197.07万元,副总裁黄长庚和副总裁吴高潮均为150.56万元。另外三位副总裁李渝、许火耀..."
